"Data","Produto","Quantidade","Custo","Valor","Cliente","Endereco","Pagamento","Modalidade","Total","Liquido"
2021-01-02,"Produto 4",1,7,14,"Cliente 4","Janga, Paulista - PE
, Brazil","Debito","Delivery",14,7
2021-01-03,"Produto 5",3,23,14,"Cliente 8","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",42,-27
2021-01-04,"Produto 4",3,9,30,"Cliente 2","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",90,63
2021-01-05,"Produto 4",2,14,32,"Cliente 3","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Local",64,36
2021-01-06,"Produto 10",1,22,36,"Cliente 7","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",36,14
2021-01-07,"Produto 8",3,25,29,"Cliente 2","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",87,12
2021-01-08,"Produto 4",5,5,30,"Cliente 6","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Retirada",150,125
2021-01-09,"Produto 6",3,14,7,"Cliente 8","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",21,-21
2021-01-10,"Produto 5",3,5,39,"Cliente 10","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",117,102
2021-01-11,"Produto 4",1,7,37,"Cliente 3","Pau Amarelo, Paulista - PE
, Brazil","Debito","Local",37,30
2021-01-12,"Produto 6",1,25,30,"Cliente 8","Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",30,5
2021-01-13,"Produto 4",2,7,32,"Cliente 5","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",64,50
2021-01-14,"Produto 7",2,8,1,"Cliente 3","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",2,-14
2021-01-15,"Produto 6",1,28,1,"Cliente 4","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",1,-27
2021-01-16,"Produto 7",1,23,1,"Cliente 1","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",1,-22
